(576,697,0)
(79,641,1)
(630,69,2)
(31,142,3)
(439,480,4)
(439,480,5)
(439,480,6)
(437,480,7)
(437,479,8)
(436,476,9)
(432,470,10)
(458,468,11)
(443,451,12)
(456,465,13)
(456,465,14)
(458,465,15)
(460,464,16)
(465,464,17)
(464,465,18)
(462,437,19)
(464,430,20)
(468,424,21)
(468,422,22)
(468,422,23)
(468,422,24)
(468,422,25)
(459,420,26)
(464,412,27)
(472,400,28)
(467,422,29)
(468,421,30)
(478,394,31)
(480,396,32)
(478,394,33)
(476,395,34)
(480,398,35)
(477,394,36)
(477,395,37)
(481,396,38)
(488,394,39)
(494,390,40)
(500,375,41)
(500,372,42)
(502,382,43)
(504,380,44)
(511,361,45)
(511,360,46)
(511,361,47)
(511,361,48)
(511,361,49)
(498,350,50)
(498,350,51)
(498,350,52)
(498,350,53)
(498,350,54)
(498,350,55)
(498,350,56)
(513,356,57)
(514,361,58)
(514,360,59)
(514,361,60)
(513,359,61)
(514,360,62)
(514,361,63)
(514,360,64)
(514,361,65)
(514,361,66)
(514,360,67)
(514,360,68)
(514,360,69)
(514,360,70)
(514,360,71)
(514,360,72)
(514,360,73)
(514,360,74)
(514,361,75)
(514,361,76)
(514,361,77)
(514,361,78)
(514,361,79)
(514,361,80)
(514,361,81)
(514,361,82)
(514,361,83)
(514,361,84)
(514,361,85)
(514,361,86)
(514,361,87)
(514,359,88)
(516,344,89)
(516,344,90)
(520,344,91)
(521,360,92)
(521,362,93)
(521,362,94)
(520,344,95)
(520,344,96)
(522,362,97)
(529,361,98)
(526,344,99)
(526,344,100)
(524,356,101)
(522,355,102)
(522,355,103)
(522,353,104)
(521,355,105)
(520,351,106)
(518,352,107)
(516,353,108)
(512,354,109)
(512,354,110)
(512,352,111)
(512,349,112)
(512,349,113)
(512,349,114)
(512,349,115)
(512,349,116)
(512,352,117)
(512,352,118)
(512,351,119)
(513,350,120)
(512,349,121)
(512,347,122)
(511,345,123)
(510,341,124)
(510,336,125)
(509,329,126)
(508,323,127)
(509,318,128)
(510,323,129)
(508,314,130)
(507,312,131)
(507,312,132)
(507,312,133)
(507,312,134)
(507,312,135)
